Date;Time UTC;Latitude;Longitude;Depth;Depth Type;Magnitude Type;Magnitude;Region Name;Last Update;Eqid;
2015-10-21;06:04:50;37.36;141.16;40; ;Mw;5.2;NEAR EAST COAST OF HONSHU, JAPAN;2015-10-21 14:45;465763;
2015-10-20;21:52:03;-14.87;167.35;147; ;Mw;7.1;VANUATU;2015-10-26 07:51;465681;
2015-10-20;20:33:14;-57.45;-66.18;20;f;Mw;5.5;DRAKE PASSAGE;2015-10-21 06:48;465674;
2015-10-20;10:06:14;-30.75;-71.48;40;f;mb;5.3;COQUIMBO, CHILE;2015-10-20 11:36;465598;
2015-10-20;09:29:09;27.06;140.31;319; ;Mw;5.7;BONIN ISLANDS, JAPAN REGION;2015-10-20 11:34;465591;
2015-10-20;00:36:56;12.90;143.94;100; ;Mw;5.4;GUAM REGION;2015-10-20 06:47;465520;
2015-10-19;13:50:43;13.87;120.72;123; ;Mw;5.8;MINDORO, PHILIPPINES;2015-10-19 14:25;465424;
2015-10-19;02:17:38;24.74;121.98;10;f;Mw;5.2;TAIWAN;2015-10-19 07:22;465337;
2015-10-18;18:17:25;-16.11;-173.50;10; ;mb;5.0;TONGA;2015-10-19 06:58;465279;
2015-10-18;16:23:37;-16.11;-173.35;10; ;mb;5.2;TONGA;2015-10-18 21:09;465272;
2015-10-18;16:18:35;-16.03;-173.31;10; ;Mw;6.0;TONGA;2015-10-18 21:13;465264;
2015-10-18;13:00:21;2.82;126.59;60; ;mb;5.0;MOLUCCA SEA;2015-10-18 21:18;465245;
2015-10-18;10:35:01;45.89;150.87;80; ;mb;5.1;KURIL ISLANDS;2015-10-18 21:20;465226;
2015-10-17;21:02:32;-20.14;169.17;60; ;mb;5.3;VANUATU;2015-10-18 08:25;465129;
2015-10-17;20:44:55;-5.15;152.85;60; ;mb;5.4;NEW BRITAIN REGION, P.N.G.;2015-10-18 08:16;465123;
2015-10-17;17:52:21;-42.66;-82.28;10; ;Mw;5.6;WEST CHILE RISE;2015-10-19 07:29;465106;
2015-10-17;11:39:05;-55.74;-27.55;3; ;mb;5.0;SOUTH SANDWICH ISLANDS REGION;2015-10-30 10:59;467323;
2015-10-17;11:33:08;-25.42;-64.63;10; ;Mw;5.9;SALTA, ARGENTINA;2015-10-17 13:16;465067;
2015-10-16;06:38:25;55.66;159.12;275; ;Mw;5.6;KAMCHATKA PENINSULA, RUSSIA;2015-10-16 14:35;464837;
2015-10-15;19:56:50;-34.95;-108.02;33; ;Mw;5.1;SOUTHERN EAST PACIFIC RISE;2015-10-19 06:57;464945;
2015-10-15;10:07:29;-2.49;-78.84;115; ;Mw;5.4;ECUADOR;2015-10-15 13:49;464685;
2015-10-14;07:47:18;7.60;-73.38;129; ;mb;5.4;NORTHERN COLOMBIA;2015-10-14 09:17;464505;
2015-10-14;05:49:42;48.83;156.36;10; ;mb;5.0;EAST OF KURIL ISLANDS;2015-10-14 09:11;464489;
2015-10-14;05:43:08;48.82;156.25;10; ;Mw;5.9;EAST OF KURIL ISLANDS;2015-10-14 07:34;464501;
2015-10-14;02:47:08;1.90;128.37;100; ;mb;5.0;HALMAHERA, INDONESIA;2015-10-14 06:55;464484;
2015-10-12;21:37:31;38.39;57.10;10;f;mb;5.0;TURKMENISTAN;2015-10-13 06:15;464281;
2015-10-12;19:30:33;54.91;-159.51;20; ;mb;5.1;SOUTH OF ALASKA;2015-10-13 06:54;464265;
2015-10-12;16:46:46;-30.72;-71.74;30;f;ML;5.0;OFFSHORE COQUIMBO, CHILE;2015-10-13 06:51;464251;
2015-10-12;11:14:47;22.48;121.49;10; ;mb;5.0;TAIWAN REGION;2015-10-13 06:45;464207;
2015-10-12;10:04:15;34.27;98.36;10;f;mb;5.0;SOUTHERN QINGHAI, CHINA;2015-10-12 13:48;464194;
2015-10-12;08:04:59;-40.73;176.57;20; ;Mw;5.4;NORTH ISLAND OF NEW ZEALAND;2015-10-12 10:58;464176;
2015-10-12;07:23:24;11.72;57.91;10;f;mb;5.2;OWEN FRACTURE ZONE REGION;2015-10-12 13:47;464168;
2015-10-12;04:35:39;7.45;-77.48;10; ;mb;5.1;PANAMA-COLOMBIA BORDER REGION;2015-10-12 06:53;464154;
2015-10-12;03:31:31;-31.16;-71.82;20;f;mb;5.1;OFFSHORE COQUIMBO, CHILE;2015-10-12 06:52;464149;
2015-10-12;03:15:19;-31.15;-71.68;30;f;Mw;5.5;OFFSHORE COQUIMBO, CHILE;2015-10-12 06:49;464145;
2015-10-11;13:32:02;46.68;152.53;60; ;mb;5.1;KURIL ISLANDS;2015-10-12 07:28;464065;
2015-10-11;00:58:27;-54.56;-135.83;10;f;Mw;6.1;PACIFIC-ANTARCTIC RIDGE;2015-10-12 07:15;463991;
2015-10-10;20:25:16;-7.18;154.05;30; ;mb;5.0;BOUGAINVILLE REGION, P.N.G.;2015-10-11 03:02;463958;
2015-10-10;09:20:42;36.75;-97.87;2; ;mb;5.0;OKLAHOMA;2015-10-10 09:44;463901;
